iter	Passed	Remaining
0	187	56104
1	190	28447
2	194	19215
3	196	14549
4	200	11810
5	202	9933
6	204	8569
7	207	7573
8	209	6778
9	211	6140
10	215	5653
11	218	5232
12	220	4875
13	223	4556
14	225	4280
15	227	4035
16	229	3819
17	231	3628
18	233	3458
19	235	3301
20	237	3158
21	239	3030
22	241	2910
23	243	2801
24	245	2702
25	247	2610
26	249	2522
27	251	2442
28	253	2368
29	255	2297
30	257	2232
31	259	2175
32	261	2118
33	263	2065
34	266	2015
35	268	1966
36	270	1922
37	272	1879
38	274	1837
39	276	1797
40	278	1759
41	280	1724
42	282	1690
43	285	1659
44	287	1627
45	289	1597
46	292	1572
47	294	1544
48	296	1517
49	298	1492
50	314	1533
51	316	1507
52	317	1481
53	319	1457
54	321	1433
55	323	1410
56	325	1388
57	327	1365
58	329	1345
59	331	1324
60	333	1306
61	335	1287
62	337	1268
63	339	1251
64	341	1234
65	343	1218
66	346	1203
67	348	1187
68	349	1171
69	351	1156
70	353	1141
71	355	1125
72	357	1111
73	359	1098
74	361	1084
75	363	1071
76	365	1059
77	367	1047
78	369	1034
79	371	1022
80	373	1011
81	376	999
82	378	988
83	380	977
84	381	965
85	383	954
86	385	944
87	387	934
88	389	923
89	391	914
90	393	904
91	395	894
92	397	885
93	399	875
94	401	866
95	403	857
96	405	849
97	407	840
98	409	831
99	411	823
100	413	815
101	416	807
102	418	800
103	421	793
104	423	786
105	425	778
106	427	771
107	429	763
108	431	756
109	434	749
110	436	742
111	438	736
112	440	729
113	442	722
114	445	716
115	447	709
116	449	703
117	451	696
118	453	690
119	455	683
120	457	677
121	460	671
122	462	665
123	464	659
124	466	653
125	468	647
126	470	640
127	472	635
128	474	629
129	476	623
130	478	617
131	481	612
132	483	607
133	486	602
134	488	596
135	490	591
136	493	586
137	495	581
138	497	576
139	499	571
140	502	566
141	504	560
142	506	555
143	508	550
144	510	545
145	512	540
146	514	535
147	516	530
148	518	525
149	520	520
150	522	515
151	525	511
152	527	507
153	529	502
154	532	497
155	534	493
156	536	488
157	539	484
158	541	480
159	543	475
160	545	471
161	547	466
162	549	462
163	551	457
164	553	453
165	556	448
166	558	444
167	560	440
168	562	436
169	565	432
170	567	428
171	570	424
172	572	420
173	574	416
174	576	412
175	579	408
176	581	403
177	583	399
178	585	395
179	587	391
180	589	387
181	592	384
182	594	380
183	596	376
184	599	372
185	601	368
186	603	364
187	605	360
188	607	356
189	609	353
190	612	349
191	614	345
192	616	341
193	618	338
194	621	334
195	623	330
196	625	326
197	627	323
198	629	319
199	631	315
200	634	312
201	636	308
202	639	305
203	641	301
204	643	298
205	645	294
206	647	290
207	649	287
208	651	283
209	654	280
210	656	276
211	658	273
212	660	269
213	662	266
214	664	262
215	666	259
216	668	255
217	671	252
218	673	249
219	675	245
220	677	242
221	679	238
222	681	235
223	683	231
224	685	228
225	687	225
226	689	221
227	691	218
228	693	215
229	696	211
230	698	208
231	700	205
232	702	202
233	704	198
234	706	195
235	708	192
236	710	188
237	712	185
238	715	182
239	717	179
240	719	176
241	721	172
242	723	169
243	725	166
244	727	163
245	729	160
246	731	156
247	733	153
248	736	150
249	738	147
250	740	144
251	742	141
252	744	138
253	747	135
254	749	132
255	751	129
256	753	126
257	755	122
258	757	119
259	759	116
260	761	113
261	763	110
262	765	107
263	767	104
264	769	101
265	771	98
266	773	95
267	775	92
268	777	89
269	779	86
270	781	83
271	783	80
272	785	77
273	787	74
274	789	71
275	791	68
276	793	65
277	795	62
278	797	60
279	800	57
280	802	54
281	804	51
282	806	48
283	808	45
284	811	42
285	813	39
286	815	36
287	817	34
288	819	31
289	821	28
290	823	25
291	825	22
292	827	19
293	829	16
294	831	14
295	833	11
296	836	8
297	838	5
298	840	2
299	842	0
